cart_UNSMOTE,knn_UNSMOTE,rf_UNSMOTE,stacking_UNSMOTE
0.5093167701863355,0.3687943262411347,0.4248366013071896,0.6046511627906976
0.65929203539823,0.34285714285714286,0.47530864197530864,0.6302521008403361
0.5882352941176471,0.4084507042253521,0.45454545454545453,0.5987525987525988
0.0,0.4128113879003559,0.5151515151515151,0.6143497757847532
0.3548387096774194,0.34090909090909094,0.46710526315789475,0.6258205689277899
0.0,0.313588850174216,0.437125748502994,0.6065573770491803
0.6465116279069768,0.3228346456692913,0.5048543689320387,0.6004842615012106
0.20754716981132076,0.3584229390681004,0.4999999999999999,0.6411889596602973
0.6175115207373272,0.316546762589928,0.4417910447761194,0.6031746031746031
0.6493506493506492,0.3870967741935484,0.5403726708074534,0.6143497757847534
0.56657223796034,0.3695652173913044,0.5075528700906344,0.6060606060606061
0.6063348416289593,0.3890784982935153,0.48615384615384616,0.6108597285067873
0.6781857451403888,0.2980392156862745,0.45602605863192186,0.6311111111111111
0.0,0.35294117647058815,0.484472049689441,0.6276150627615062
0.6139954853273137,0.37800687285223367,0.49101796407185627,0.5932584269662922
0.6550218340611353,0.3076923076923077,0.445859872611465,0.6037735849056604
0.0,0.29213483146067415,0.46202531645569617,0.6153846153846154
0.2549800796812749,0.40143369175627236,0.5212121212121212,0.6077586206896551
0.592074592074592,0.4145454545454546,0.4172185430463576,0.6430062630480168
0.32773109243697485,0.36296296296296293,0.4645161290322581,0.6094808126410836
0.17647058823529413,0.37192982456140355,0.4746835443037975,0.6123348017621145
0.0,0.3383458646616541,0.4810126582278481,0.5982532751091703
0.6681222707423581,0.3308823529411765,0.48701298701298706,0.6318082788671023
0.0,0.34432234432234426,0.45367412140575075,0.6147368421052631
0.2983870967741935,0.34090909090909094,0.5167173252279635,0.6008771929824561
0.5839080459770114,0.35664335664335667,0.4747774480712166,0.5943600867678959
0.6310904872389792,0.39007092198581556,0.5128205128205129,0.5891472868217055
0.6540880503144654,0.3430656934306569,0.48955223880597015,0.6171171171171171
0.6334841628959276,0.35051546391752575,0.4565916398713826,0.6266666666666667
0.6365591397849463,0.41522491349480967,0.50625,0.5673076923076922
